heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg-grad,mean,ood/xai-track1-rain-70,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-70,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-80,3,2,1,0,1,93,6,40,67,50,62
smoothgrad,avg-grad,mean,ood/xai-track1-rain-80,3,1,2,0,2,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-rain-80,3,1,2,0,3,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-rain-90,2,0,2,1,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-rain-90,2,0,2,1,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-rain-90,2,2,0,1,3,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-100,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-100,2,2,0,0,2,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-100,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-10,3,1,2,0,1,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-snow-10,2,1,1,1,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-10,2,1,1,1,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-20,2,1,1,1,1,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-20,2,1,1,1,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-20,2,1,1,1,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-30,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-30,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-30,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-40,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-snow-40,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-40,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-50,3,2,1,0,1,93,6,40,67,50,62
smoothgrad,avg-grad,mean,ood/xai-track1-snow-50,3,2,1,0,2,93,6,40,67,50,62
smoothgrad,avg-grad,mean,ood/xai-track1-snow-50,2,2,0,1,3,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-60,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-60,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-60,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-70,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-70,2,2,0,0,2,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-70,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-80,2,2,0,1,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-80,2,2,0,1,2,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-80,3,3,0,0,3,95,6,50,100,67,91
smoothgrad,avg-grad,mean,ood/xai-track1-snow-90,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-90,2,2,0,0,2,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-90,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-100,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-snow-100,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-snow-100,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,max,ood/xai-track1-fog-10,2,2,0,1,1,93,8,33,100,50,83
smoothgrad,avg-grad,max,ood/xai-track1-fog-10,2,2,0,1,2,93,8,33,100,50,83
smoothgrad,avg-grad,max,ood/xai-track1-fog-10,3,3,0,0,3,93,8,43,100,60,88
smoothgrad,avg-grad,max,ood/xai-track1-fog-20,4,4,0,1,1,93,8,50,100,67,91
smoothgrad,avg-grad,max,ood/xai-track1-fog-20,4,4,0,1,2,93,8,50,100,67,91
